date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:35	515/515	---M--	200	added ('OK')	text/plain	etag:W/%22203-w95jPv5CzI7ox6rWkmlq8FOIjbQ%22	https://cleanecotech8.wixstudio.com/robots.txt		(from )
12:11:36	971811/971811	---MCZ	200	added ('OK')	text/html	etag:W/%225470fd871be73b5f9d25374441d5f856%22	https://cleanecotech8.wixstudio.com/verminators/	C:/Abdul%20Rehman/Verminators/cleanecotech8.wixstudio.com/verminators/index.html	(from )
12:11:36	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Abdul%20Rehman/Verminators/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://cleanecotech8.wixstudio.com/verminators/)
12:11:37	432253/432253	---M--	200	added ('OK')	application/javascript	etag:%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/Abdul%20Rehman/Verminators/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://cleanecotech8.wixstudio.com/verminators/)
12:11:37	1171/1171	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Abdul%20Rehman/Verminators/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://cleanecotech8.wixstudio.com/verminators/)
12:11:37	2000/2000	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Oct%202025%2012:11:37%20GMT	https://cleanecotech8.wixstudio.com/verminators/c	C:/Abdul%20Rehman/Verminators/cleanecotech8.wixstudio.com/verminators/c.3.delayed	(from https://cleanecotech8.wixstudio.com/verminators/)
12:11:38	1999/1999	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Oct%202025%2012:11:37%20GMT	https://cleanecotech8.wixstudio.com/verminators/t	C:/Abdul%20Rehman/Verminators/cleanecotech8.wixstudio.com/verminators/t.4.delayed	(from https://cleanecotech8.wixstudio.com/verminators/)
12:11:38	27436/27436	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c12a306c19949780287f41fdc49a7f2c%22	https://static.parastorage.com/services/form-app/1.2107.0/client-viewer/1882.chunk.min.js	C:/Abdul%20Rehman/Verminators/static.parastorage.com/services/form-app/1.2107.0/client-viewer/1882.chunk.min.js	(from https://cleanecotech8.wixstudio.com/verminators/)
12:11:38	8542/8542	---MCZ	200	added ('OK')	application/javascript	etag:W/%221763c3ed2caba5b2635d214e5e12b065%22	https://static.parastorage.com/services/form-app/1.2107.0/client-viewer/form-app-header.chunk.min.js	C:/Abdul%20Rehman/Verminators/static.parastorage.com/services/form-app/1.2107.0/client-viewer/form-app-header.chunk.min.js	(from https://cleanecotech8.wixstudio.com/verminators/)
12:11:38	106338/106338	---MCZ	200	added ('OK')	application/javascript	etag:W/%227ac077f99e1367f50a17ec0d7e84d5c1%22	https://static.parastorage.com/services/form-app/1.2107.0/client-viewer/form-app-wix-ricos-viewer.chunk.min.js	C:/Abdul%20Rehman/Verminators/static.parastorage.com/services/form-app/1.2107.0/client-viewer/form-app-wix-ricos-viewer.chunk.min.js	(from https://cleanecotech8.wixstudio.com/verminators/)
